,Name,Address,Lat,Log
62,명동M플라자점, 서울시 중구 명동8길 27(명동2가) ,37.5624640,126.9851320
63,을지로입구역점, 서울시 중구 남대문로10길 6 1,37.5668400,126.9832230
64,오목교역사거리점, 서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,37.5241270,126.8762330
65,석촌호수점, 서울시 송파구 석촌호수로 222 제이타워 1층 ,37.5070100,127.1015360
66,용산아이파크몰점, 서울시 용산구 한강대로23길55 현대아이파크몰용산 서관6층 ,37.5297736038,126.9647427471
67,낙성대역점, 서울시 관악구 남부순환로1909 1,37.4780740,126.9615950
68,신천역점, 서울시 송파구 올림픽로100 효창타워1층 ,37.5113770,127.0816780
69,강남오토스퀘어점, 서울시 강남구 강남대로350 ,37.4942070,127.0299260
70,남양주화도DT점, 경기도 남양주시 화도읍 묵현리 411-4 ,37.6540579568603,127.2736064286863
71,김포장기DT점, 경기도 김포시 태장로 819 ,37.63650617112272,126.67761386088402
72,부천북부역사거리점, 경기도 부천시 부천로25 ,37.486695028675065,126.78282064388229
73,하남신세계백화점 B1점, 경기도 하남시 미사대로 750,37.5454353155,127.2237408142
74,안양시청앞점, 경기도 안양시 동안구 시민대로 260,37.3935064523,126.9594131611
75,파주DT점, 경기도 파주시 문발로 131 ,37.7063262051,126.686215991
76,광명아브뉴프랑점, 경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점 ,37.4171177525,126.8808220746
77,분당차병원본관앞점, 경기도 성남시 분당구 야탑로64 DS타워 1층 ,37.4095024979,127.1259792084
78,수원인계DT점, 경기 수원시 인계동 967-4,37.2688869317,127.0264720701
79,동탄능동DT점, 경기도 화성시 능동 453-4,37.2109860946,127.0563509564
80,성균관대 자연과학캠퍼스점, 경기 수원시 장안구 서부로 2066,37.2950353892,126.9748766661
81,서수원이마트점, 경기도 수원시 권선구 수인로 291(구운동),37.2826287942,126.9701447216
82,성남신흥점, 경기도 성남시 수정구 수정로 190 (신흥동) ,37.443425058,127.1409797541
83,수원송죽DT점, 경기도 수원시 장안구 경수대로 989 ,37.305075568,127.0029236999
84,평택소사점, 경기도 평택시 평남로 862,37.0004688553,127.1115006493
85,화정중앙공원점, 경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호 ,37.6317396639,126.8329940164
86,안양1번가점, 경기도 안양시 만안구 안양로304번길 12 세진빌딩 2층 ,37.399546094,126.9218962578
87,부천상동점, 경기도 부천시 길주로 111 센타플라자 1층 ,37.5063291292,126.7548871542
88,산본역점, 경기도 군포시 광정로58 1층 104호 및 2층 ,37.3585082814,126.9309825047
89,강남대점, 경기도 용인시 기흥구 강남로 3 강남앤플러스 1층 ,37.2710500739,127.1261314961
90,파주운정홈플러스점, 경기도 파주시 청암로 17번길 17 1층 ,37.7295687815,126.736760962
91,수지동천점, 경기 용인시 수지구 손곡로 95 송란빌딩 1층 ,37.3359670584,127.0918092493
92,수원망포역점, 경기도 수원시 영통구 영통로 214번길 8 1층 ,37.2462164627,127.0575718963
